"family","genus","species","lme","fao","level","FB_E_Code","source","type.length","taxo","b","a"
"Labridae","Symphodus","melops",23,27,"species",104,"fb","TL","spe-FAO",3.1350000500679,0.00903999991714954
"Psychrolutidae","Cottunculus","microps",22,27,"species",139,"fb","TL","fam-Ocean",3.00725001096725,0.0201999999117106
"Clupeidae","Alosa","agone",22,27,"species",139,"fb","TL","spe-Ocean",2.94000005722046,0.0132999997586012
"Trachinidae","Echiichthys","vipera",24,27,"species",235,"fb","TL","spe-FAO",3.04999995231628,0.010499999858439
"Callionymidae","Callionymus","lyra",24,27,"species",235,"fb","TL","spe-LME",2.79550004005432,0.00460000010207295
"Scombridae","Scomber","scombrus",24,27,"species",235,"fb","TL","spe-LME",3.12166666984558,0.00557000011516114
"Triglidae","Chelidonichthys","lucerna",24,27,"species",235,"fb","TL","spe-LME",3.09379997253418,0.0073140000924468
"Clupeidae","Sardina","pilchardus",24,27,"species",235,"fb","TL","spe-LME",3.05849993228912,0.00597000005654991
"Soleidae","Solea","solea",24,27,"species",235,"fb","TL","spe-LME",3.06149999300639,0.00741333328187466
"Scyliorhinidae","Scyliorhinus","canicula",24,27,"species",235,"fb","TL","spe-LME",2.90400004386902,0.00335999997332692
"Mullidae","Mullus","surmuletus",24,27,"species",235,"fb","TL","spe-LME",3.19316669305166,0.00731333337413768
"Carangidae","Trachurus","trachurus",24,27,"species",235,"fb","TL","spe-LME",3.03149998188019,0.00709500000812113
"Ammodytidae","Hyperoplus","lanceolatus",24,27,"species",235,"fb","TL","spe-Ocean",2.69670009613037,0.00659999996423721
"Gadidae","Trisopterus","minutus",24,27,"species",235,"fb","TL","spe-LME",3.02600002288818,0.00920000020414591
"Gobiidae",NA,"",24,27,"family",235,"fb","TL","fam-LME",3,0.0110999997705221
"Gadidae","Trisopterus","minutus",23,27,"species",104,"fb","TL","spe-FAO",3.06124997138977,0.00767500011716038
"Gobiidae","Aphia","minuta",23,27,"species",104,"fb","TL","spe-FAO",3.52666666110357,0.00122424997728861
"Labridae","Centrolabrus","exoletus",22,27,"species",139,"fb","TL","spe-FAO",3.23000001907349,0.00488499994389713
"Cottidae","Myoxocephalus","scorpius",24,27,"species",235,"fb","TL","spe-LME",3.12400007247925,0.0126000000163913
"Soleidae","Buglossidium","luteum",24,27,"species",235,"fb","TL","spe-FAO",3.37000000476837,0.00498999992851168
"Triakidae","Mustelus","",24,27,"genus",235,"fb","TL","gen-LME",3.1599999666214,0.00200000003678724
"Bothidae","Arnoglossus","laterna",24,27,"species",235,"fb","TL","spe-FAO",3.22574996948242,0.00526499998522922
"Lotidae","Ciliata","",24,27,"genus",235,"fb","TL","gen-LME",3,0.0063999998383224
"Engraulidae","Engraulis","encrasicolus",24,27,"species",235,"fb","TL","spe-LME",2.98099994659424,0.0065399999730289
"Triglidae","Eutrigla","gurnardus",24,27,"species",235,"fb","TL","spe-LME",3.15950000286102,0.00505000003613532
"Trachinidae","Trachinus","draco",24,27,"species",235,"fb","TL","spe-LME",2.97200000286102,0.00713500007987022
"Triglidae","Chelidonichthys","cuculus",24,27,"species",235,"fb","TL","spe-LME",3.22666660944621,0.00491666669646899
"Gadidae","Trisopterus","luscus",24,27,"species",235,"fb","TL","spe-LME",3.17949998378754,0.00732250011060387
"Ammodytidae","Ammodytes","tobianus",24,27,"species",235,"fb","TL","spe-FAO",2.55999994277954,0.00980000011622906
"Rajidae","Raja","microocellata",24,27,"species",235,"fb","TL","spe-LME",3.11700010299683,0.00493999989703298
"Sparidae","Spondyliosoma","cantharus",24,27,"species",235,"fb","TL","spe-LME",3.17166670163473,0.00956333335489035
"Liparidae","Liparis","",24,27,"genus",235,"fb","TL","gen-Ocean",3.07795000076294,0.014600926078856
"Rajidae","Raja","montagui",24,27,"species",235,"fb","TL","spe-LME",3.31100010871887,0.00200999993830919
"Soleidae","Microchirus","variegatus",24,27,"species",235,"fb","TL","spe-FAO",3.12799996137619,0.00996749993646517
"Rajidae","Raja","",24,27,"genus",235,"fb","TL","gen-LME",3.20428575788225,0.00319142855836877
"Syngnathidae","Syngnathus","",24,27,"genus",235,"fb","TL","gen-LME",3.52699995040894,5.99999984842725e-05
"Scophthalmidae","Scophthalmus","maximus",24,27,"species",235,"fb","TL","spe-LME",3.02728578022548,0.0160742857094322
"Labridae","Ctenolabrus","rupestris",24,27,"species",235,"fb","TL","spe-LME",3,0.0122999995946884
"Lotidae","Gaidropsarus","argentatus",22,27,"species",139,"fb","TL","gen-LME",2.95900011062622,0.0108000002801418
"Sparidae","Sarpa","salpa",22,27,"species",139,"fb","TL","spe-LME",2.9300000667572,0.0179999992251396
"Trachinidae","Trachinus","draco",23,27,"species",104,"fb","TL","spe-FAO",3.13050001859665,0.0063212500026566
"Stichaeidae","Lumpenus","lampretaeformis",23,27,"species",104,"fb","TL","spe-Ocean",2.26884996891022,0.011350000044331
"Cottidae","Triglops","",22,27,"genus",139,"fb","TL","gen-Ocean",3,0.00880332756787539
"Gadidae","Pollachius","virens",23,27,"species",104,"fb","TL","spe-Ocean",3.04306878149509,0.00844562509155367
"Clupeidae","Alosa","agone",23,27,"species",104,"fb","TL","spe-Ocean",2.94000005722046,0.0132999997586012
"Clupeidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.10618369523869,0.00665727911008045
"Gobiidae","Buenia","jeffreysii",22,27,"species",139,"fb","TL","fam-LME",3,0.0110999997705221
"Cottidae","Myoxocephalus","scorpius",23,27,"species",104,"fb","TL","spe-FAO",3.25700008869171,0.00830000010319054
"Gobiidae","Pomatoschistus","",23,27,"genus",104,"fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
"Centriscidae","Macroramphosus","scolopax",22,27,"species",139,"fb","TL","spe-FAO",2.88499999046326,0.012799999754255
"Bramidae","Pterycombus","brama",22,27,"species",139,"fb","TL","fam-FAO",3.18499994277954,0.00510999979451299
"Soleidae","Buglossidium","luteum",23,27,"species",104,"fb","TL","spe-FAO",3.37000000476837,0.00498999992851168
"Salmonidae","Salmo","salar",23,27,"species",104,"fb","TL","spe-Ocean",2.99163007736206,0.010717443190515
"Salmonidae","Salmo","trutta trutta",23,27,"species",104,"fb","TL","gen-LME",3.27779006958008,0.00359999993816018
"Lophiidae","Lophius","piscatorius",24,27,"species",235,"fb","TL","spe-LME",2.81399997075399,0.0276000003019969
"Zeidae","Zeus","faber",24,27,"species",235,"fb","TL","spe-LME",2.9539999961853,0.019033333286643
"Gadidae","Pollachius","pollachius",24,27,"species",235,"fb","TL","spe-LME",3.10833334922791,0.00595333334058523
"Congridae","Conger","conger",24,27,"species",235,"fb","TL","spe-LME",3.25975000858307,0.00123600001097657
"Syngnathidae",NA,"",23,27,"family",104,"fb","TL","fam-LME",2.82850003242493,0.000269299998763017
"Gobiidae","Gobius","",24,27,"genus",235,"fb","TL","gen-LME",3,0.0110999997705221
"Triglidae","Chelidonichthys","lastoviza",24,27,"species",235,"fb","TL","spe-LME",3.00100004673004,0.0088599999435246
"Mugilidae","Chelon","labrosus",23,27,"species",104,"fb","TL","spe-FAO",3.07299995422363,0.00902333358923594
"Cottidae","Icelus","bicornis",22,27,"species",139,"fb","TL","gen-Ocean",3.0489000082016,0.0177499992423691
"Ammodytidae","Ammodytes","",24,27,"genus",235,"fb","TL","gen-FAO",2.55999994277954,0.00980000011622906
"Petromyzontidae","Petromyzon","marinus",24,27,"species",235,"fb","TL","spe-Ocean",3,0.00208000000566244
"Callionymidae","Callionymus","",24,27,"genus",235,"fb","TL","gen-LME",2.79550004005432,0.00460000010207295
"Gobiidae","Pomatoschistus","norvegicus",22,27,"species",139,"fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
"Stichaeidae","Chirolophis","ascanii",22,27,"species",139,"fb","TL","gen-Ocean",3.42300009727478,0.00240000011399388
"Macrouridae","Coelorinchus","caelorhincus",22,27,"species",139,"fb","TL","spe-FAO",3.06449997425079,0.0648449987638742
"Lotidae","Enchelyopus","cimbrius",24,27,"species",235,"fb","TL","spe-LME",3.10599994659424,0.00350000010803342
"Gobiidae","Pomatoschistus","",24,27,"genus",235,"fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
"Rajidae","Raja","brachyura",24,27,"species",235,"fb","TL","spe-LME",3.23300004005432,0.00280999997630715
"Anguillidae","Anguilla","anguilla",24,27,"species",235,"fb","TL","spe-LME",3.06607999801636,0.00253343998338096
"Lamnidae","Lamna","nasus",22,27,"species",139,"fb","TL","spe-LME",2.59450006484985,0.0804999992251396
"Labridae","Labrus","mixtus",22,27,"species",139,"fb","TL","spe-FAO",3.25699996948242,0.00499999988824129
"Syngnathidae","Nerophis","lumbriciformis",22,27,"species",139,"fb","TL","spe-LME",3,0.000419999996665865
"Atherinidae","Atherina","presbyter",24,27,"species",235,"fb","TL","spe-LME",3,0.00689999992027879
"Blenniidae","Blennius","ocellaris",24,27,"species",235,"fb","TL","spe-FAO",2.93650007247925,0.0153999999165535
"Gobiesocidae","Lepadogaster","lepadogaster",22,27,"species",139,"fb","TL","spe-Ocean",3,0.0230653770267963
"Scombridae","Sarda","sarda",22,27,"species",139,"fb","TL","spe-LME",3.1800000667572,0.00510000018402934
"Polyprionidae","Polyprion","americanus",22,27,"species",139,"fb","TL","spe-FAO",2.68799996376038,0.00667000003159046
"Rajidae","Rajella","fyllae",22,27,"species",139,"fb","TL","gen-Ocean",3,0.0048686983063817
"Atherinidae","Atherina","",22,27,"genus",139,"fb","TL","gen-LME",3,0.00689999992027879
"Rajidae","Dipturus","lintea",22,27,"species",139,"fb","TL","gen-FAO",3.53900003433228,0.00047999998787418
"Liparidae",NA,"",22,27,"family",139,"fb","TL","fam-Ocean",3.14856873452663,0.0151405590804643
"Acipenseridae","Acipenser","sturio",22,27,"species",139,"fb","TL","spe-LME",2.88499999046326,0.00947999954223633
"Gadidae","Trisopterus","esmarkii",23,27,"species",104,"fb","TL","spe-FAO",3,0.00680000009015203
"Osmeridae","Osmerus","eperlanus",23,27,"species",104,"fb","TL","spe-Ocean",2.85349988937378,0.00939999986439943
"Gasterosteidae","Gasterosteus","aculeatus aculeatus",23,27,"species",104,"fb","TL","gen-FAO",3.04900002479553,0.010499999858439
"Salmonidae","Coregonus","lavaretus",23,27,"species",104,"fb","TL","spe-LME",3.11759996414185,0.00786000024527311
"Agonidae","Agonus","cataphractus",23,27,"species",104,"fb","TL","spe-Ocean",2.7404500246048,0.0150000001303852
"Zoarcidae",NA,"",23,27,"family",104,"fb","TL","fam-LME",3.26559998772361,0.0063377271104731
"Scophthalmidae","Lepidorhombus","whiffiagonis",23,27,"species",104,"fb","TL","spe-FAO",3.13676247000694,0.00423124991357327
"Pholidae","Pholis","gunnellus",23,27,"species",104,"fb","TL","spe-FAO",3.01799988746643,0.00430000014603138
"Gobiidae",NA,"",23,27,"family",104,"fb","TL","fam-LME",3.05292499065399,0.0307424999773502
"Gasterosteidae","Spinachia","spinachia",23,27,"species",104,"fb","TL","spe-FAO",3,0.00209999992512167
"Labridae",NA,"",23,27,"family",104,"fb","TL","fam-FAO",3.05526316793341,0.0128831577879426
"Labridae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.97199997901917,0.014299999922514
"Ammodytidae","Ammodytes","tobianus",23,27,"species",104,"fb","TL","spe-FAO",2.55999994277954,0.00980000011622906
"Clupeidae","Alosa","",23,27,"genus",104,"fb","TL","gen-LME",3.27840003967285,0.00327600003220141
"Ammodytidae",NA,"",23,27,"family",104,"fb","TL","fam-FAO",2.55999994277954,0.00980000011622906
"Zoarcidae","Zoarces","viviparus",23,27,"species",104,"fb","TL","spe-LME",2.79999995231628,0.00999999977648258
"Bothidae",NA,"",23,27,"family",104,"fb","TL","fam-FAO",3.14766667286555,0.00801749996996174
"Ammodytidae","Ammodytes","marinus",23,27,"species",104,"fb","TL","spe-Ocean",3.43950009346008,0.00100000004749745
"Scophthalmidae","Zeugopterus","punctatus",23,27,"species",104,"fb","TL","spe-FAO",3.14599990844727,0.0138999996706843
"Liparidae","Liparis","",23,27,"genus",104,"fb","TL","gen-Ocean",3.07795000076294,0.014600926078856
"Mullidae","Mullus","surmuletus",23,27,"species",104,"fb","TL","spe-FAO",3.14515376091003,0.0089589583221823
"Ammodytidae","Ammodytes","",23,27,"genus",104,"fb","TL","gen-FAO",2.55999994277954,0.00980000011622906
"Cottidae","Myoxocephalus","quadricornis",23,27,"species",104,"fb","TL","spe-LME",2.95219993591309,0.0229000002145767
"Argentinidae","Argentina","",23,27,"genus",104,"fb","TL","gen-FAO",3.18159999847412,0.00375999992247671
"Percidae","Sander","lucioperca",23,27,"species",104,"fb","TL","spe-LME",3.1853000164032,0.00602999995462596
"Callionymidae","Callionymus","lyra",23,27,"species",104,"fb","TL","spe-FAO",2.496333360672,0.0454444447532296
"Esocidae","Esox","lucius",23,27,"species",104,"fb","TL","spe-LME",2.97943329811096,0.00776666682213545
"Salmonidae","Coregonus","albula",23,27,"species",104,"fb","TL","spe-LME",3.33333341280619,0.00419999992785354
"Anarhichadidae","Anarhichas","lupus",23,27,"species",104,"fb","TL","spe-FAO",3.15966669718424,0.00510000018402934
"Lotidae","Ciliata","",23,27,"genus",104,"fb","TL","gen-FAO",3,0.0063999998383224
"Gasterosteidae","Pungitius","pungitius",22,27,"species",139,"fb","TL","spe-Ocean",3.07999992370605,0.00337999989278615
"Percidae","Perca","fluviatilis",23,27,"species",104,"fb","TL","spe-LME",2.79900002479553,0.0346000008285046
"Mullidae","Mullus","barbatus barbatus",23,27,"species",104,"fb","TL","spe-FAO",3.01774996519089,0.00870750010653865
"Petromyzontidae","Lampetra","fluviatilis",23,27,"species",104,"fb","TL","spe-LME",3.07050001621246,0.00151299999561161
"Gasterosteidae","Pungitius","pungitius",23,27,"species",104,"fb","TL","spe-Ocean",3.07999992370605,0.00337999989278615
"Ammodytidae","Hyperoplus","",23,27,"genus",104,"fb","TL","gen-Ocean",2.78923336664836,0.00631922716274858
"Syngnathidae","Nerophis","",23,27,"genus",104,"fb","TL","gen-LME",2.71600008010864,0.00019399999291636
"Sternoptychidae","Argyropelecus","olfersii",22,27,"species",139,"fb","TL","spe-Ocean",3,0.0187928676605225
"Stichaeidae","Leptoclinus","maculatus",23,27,"species",104,"fb","TL","fam-LME",2.76473335425059,0.0791400020631651
"Triglidae","Chelidonichthys","lucerna",23,27,"species",104,"fb","TL","spe-FAO",2.99620001316071,0.0101169999223202
"Zoarcidae","Lycodes","vahlii",23,27,"species",104,"fb","TL","gen-LME",3.40974998474121,0.00176666667781925
"Belonidae","Belone","belone",23,27,"species",104,"fb","TL","spe-FAO",3.09733327229818,0.00098333335093533
"Triglidae","Chelidonichthys","cuculus",23,27,"species",104,"fb","TL","spe-FAO",3.10316665967306,0.00822500015298525
"Gasterosteidae",NA,"",23,27,"family",104,"fb","TL","fam-FAO",3.02450001239777,0.00629999989178032
"Blenniidae","Lipophrys","pholis",23,27,"species",104,"fb","TL","spe-FAO",3,0.00930000003427267
"Pleuronectidae","Glyptocephalus","cynoglossus",23,27,"species",104,"fb","TL","spe-FAO",3.23500001430511,0.00275000010151416
"Atherinidae","Atherina","presbyter",23,27,"species",104,"fb","TL","spe-FAO",3.02499997615814,0.00664999987930059
"Cottidae",NA,"",23,27,"family",104,"fb","TL","fam-LME",2.93779997825623,0.0298266666708514
"Gobiidae","Neogobius","",23,27,"genus",104,"fb","TL","gen-LME",3.05292499065399,0.0307424999773502
"Percidae","Gymnocephalus","cernua",23,27,"species",104,"fb","TL","spe-LME",2.97015567259355,0.0127943182702769
"Labridae","Acantholabrus","palloni",23,27,"species",104,"fb","TL","spe-Ocean",3.07399988174438,0.0108000002801418
"Ammodytidae","Hyperoplus","immaculatus",23,27,"species",104,"fb","TL","spe-Ocean",2.83550000190735,0.00617884076200426
"Cottidae","Taurulus","bubalis",23,27,"species",104,"fb","TL","spe-FAO",3,0.0153999999165535
"Cyprinidae","Rutilus","rutilus",23,27,"species",104,"fb","TL","spe-LME",2.77509999275208,0.0370000004768372
"Lotidae","Gaidropsarus","vulgaris",23,27,"species",104,"fb","TL","spe-FAO",3.18050003051758,0.00650500017218292
"Cottidae","Triglops","",23,27,"genus",104,"fb","TL","gen-Ocean",3,0.00880332756787539
"Lotidae","Molva","molva",23,27,"species",104,"fb","TL","spe-FAO",3.43600010871887,0.00100000004749745
"Gadidae","Pollachius","pollachius",23,27,"species",104,"fb","TL","spe-FAO",3.10833334922791,0.00595333334058523
"Gobiidae","Gobiusculus","flavescens",23,27,"species",104,"fb","TL","fam-LME",3.05292499065399,0.0307424999773502
"Labridae","Labrus","bergylta",23,27,"species",104,"fb","TL","spe-FAO",3,0.0144999995827675
"Sternoptychidae","Argyropelecus","olfersii",23,27,"species",104,"fb","TL","spe-Ocean",3,0.0187928676605225
"Carangidae","Caranx","rhonchus",23,27,"species",104,"fb","TL","spe-FAO",2.42549991607666,0.0774999987334013
"Cyprinidae","Abramis","brama",22,27,"species",139,"fb","TL","spe-LME",3.17499995231628,0.0063999998383224
"Soleidae","Pegusa","lascaris",23,27,"species",104,"fb","TL","spe-FAO",3.16500008106232,0.00690000015310943
"Callionymidae",NA,"",23,27,"family",104,"fb","TL","fam-FAO",2.57766668001811,0.0322553334136804
"Gobiidae","Neogobius","",22,27,"genus",139,"fb","TL","gen-FAO",3.35599994659424,0.00493500009179115
"Cyprinidae","Vimba","vimba",23,27,"species",104,"fb","TL","spe-Ocean",3.15983335177104,0.00884803190516929
"Zoarcidae","Lycodes","gracilis",23,27,"species",104,"fb","TL","gen-LME",3.40974998474121,0.00176666667781925
"Merlucciidae","Merluccius","merluccius",24,27,"species",235,"fb","TL","spe-LME",2.98100006580353,0.00819800002500415
"Sparidae","Sparus","aurata",24,27,"species",235,"fb","TL","spe-LME",2.98153328895569,0.0501333341623346
"Sparidae","Boops","boops",24,27,"species",235,"fb","TL","spe-LME",2.94000005722046,0.0120000001043081
"Mugilidae","Chelon","",24,27,"genus",235,"fb","TL","gen-LME",2.73000001907349,0.0219999998807907
"Carangidae","Trachurus","mediterraneus",24,27,"species",235,"fb","TL","spe-LME",2.98000001907349,0.00800000037997961
"Labridae","Labrus","mixtus",24,27,"species",235,"fb","TL","spe-FAO",3.25699996948242,0.00499999988824129
"Gadidae","Micromesistius","poutassou",24,27,"species",235,"fb","TL","spe-LME",3.08200001716614,0.00374999991618097
"Lophiidae","Lophius","budegassa",24,27,"species",235,"fb","TL","spe-FAO",2.91574996709824,0.0365024999482557
"Caproidae","Capros","aper",24,27,"species",235,"fb","TL","spe-FAO",2.81924992799759,0.0299174997489899
"Cepolidae","Cepola","macrophthalma",24,27,"species",235,"fb","TL","spe-FAO",2.08899998664856,0.0198500002734363
"Argentinidae","Argentina","",24,27,"genus",235,"fb","TL","gen-LME",3.05299997329712,0.00529999984428287
"Scophthalmidae","Lepidorhombus","whiffiagonis",24,27,"species",235,"fb","TL","spe-LME",3.16599998474121,0.0036139999050647
"Scophthalmidae","Lepidorhombus","boscii",24,27,"species",235,"fb","TL","spe-LME",3.04999995231628,0.00300000002607703
"Gadidae","Gadiculus","argenteus",24,27,"species",235,"fb","TL","spe-FAO",3.32133332888285,0.00417666664967934
"Lotidae","Gaidropsarus","vulgaris",24,27,"species",235,"fb","TL","spe-LME",2.95900011062622,0.0108000002801418
"Macrouridae","Malacocephalus","laevis",24,27,"species",235,"fb","TL","spe-FAO",2.97150003910065,0.341374990704935
"Phycidae","Phycis","blennoides",24,27,"species",235,"fb","TL","spe-LME",3.38899993896484,0.00219999998807907
"Gobiidae","Aphia","minuta",24,27,"species",235,"fb","TL","spe-FAO",3.52666666110357,0.00122424997728861
"Triglidae","Chelidonichthys","obscurus",24,27,"species",235,"fb","TL","spe-LME",2.94000005722046,0.00800000037997961
"Soleidae","Dicologlossa","cuneata",24,27,"species",235,"fb","TL","spe-LME",3.00099992752075,0.00659999996423721
"Ammodytidae","Hyperoplus","immaculatus",24,27,"species",235,"fb","TL","spe-Ocean",2.83550000190735,0.00617884076200426
"Sparidae","Pagrus","pagrus",24,27,"species",235,"fb","TL","spe-LME",2.95000004768372,0.0199999995529652
"Scombridae","Sarda","sarda",24,27,"species",235,"fb","TL","spe-LME",3.1800000667572,0.00510000018402934
"Rajidae","Leucoraja","naevus",24,27,"species",235,"fb","TL","spe-LME",3.23300004005432,0.00236000004224479
"Carapidae","Echiodon","drummondii",24,27,"species",235,"fb","TL","spe-Ocean",3,0.000592592579778284
"Bothidae","Arnoglossus","imperialis",24,27,"species",235,"fb","TL","spe-FAO",3.16799998283386,0.00523749989224598
"Torpedinidae","Torpedo","marmorata",24,27,"species",235,"fb","TL","spe-FAO",2.8840000629425,0.031700000166893
"Sciaenidae","Argyrosomus","regius",24,27,"species",235,"fb","TL","spe-LME",3.05900001525879,0.00825999956578016
"Sparidae","Lithognathus","mormyrus",24,27,"species",235,"fb","TL","spe-LME",2.88999998569489,0.0197000000625849
"Squalidae","Squalus","acanthias",24,27,"species",235,"fb","TL","spe-Ocean",3.05726924309364,0.00471846156198388
"Soleidae","Bathysolea","profundicola",24,27,"species",235,"fb","TL","fam-LME",3.06124997138977,0.0071349999634549
"Pentanchidae","Galeus","melastomus",24,27,"species",235,"fb","TL","spe-FAO",3.09900002479553,0.00199199996422976
"Moridae","Lepidion","eques",24,27,"species",235,"fb","TL","spe-FAO",3.54100000858307,0.000949999986914918
"Myctophidae","Notoscopelus","kroyeri",24,27,"species",235,"fb","TL","fam-FAO",2.98000001907349,0.00510000018402934
"Carangidae","Trachurus","picturatus",24,27,"species",235,"fb","TL","spe-FAO",3.07375001907349,0.00647749996278435
"Clupeidae","Alosa","",24,27,"genus",235,"fb","TL","gen-LME",2.96366664568583,0.0103100001113489
"Syngnathidae","Hippocampus","hippocampus",24,27,"species",235,"fb","TL","spe-FAO",2.73000001907349,0.0063999998383224
"Rajidae","Leucoraja","circularis",24,27,"species",235,"fb","TL","spe-Ocean",3.07999992370605,0.00389999989420176
"Sparidae","Pagellus","erythrinus",24,27,"species",235,"fb","TL","spe-LME",2.94000005722046,0.0160000007599592
"Sebastidae","Helicolenus","dactylopterus",24,27,"species",235,"fb","TL","spe-LME",3.09100008010864,0.0104000000283122
"Scorpaenidae","Scorpaena","loppei",24,27,"species",235,"fb","TL","spe-FAO",3.31900000572205,0.0094500002451241
"Berycidae","Beryx","splendens",24,27,"species",235,"fb","TL","spe-Ocean",3.1010000705719,0.00870000012218952
"Chimaeridae","Chimaera","monstrosa",24,27,"species",235,"fb","TL","spe-FAO",3.27049994468689,0.00387000006594462
"Gobiidae","Lesueurigobius","friesii",24,27,"species",235,"fb","TL","spe-FAO",3.51500010490417,0.00257000001147389
"Lotidae","Molva","molva",24,27,"species",235,"fb","TL","spe-LME",3.43600010871887,0.00100000004749745
"Soleidae","Pegusa","lascaris",24,27,"species",235,"fb","TL","spe-FAO",3.16500008106232,0.00690000015310943
"Balistidae","Balistes","capriscus",24,27,"species",235,"fb","TL","spe-FAO",2.71266667048136,0.0884333327412605
"Rajidae","Leucoraja","fullonica",24,27,"species",235,"fb","TL","gen-LME",3.23300004005432,0.00236000004224479
"Rajidae","Raja","undulata",24,27,"species",235,"fb","TL","spe-LME",3.12400007247925,0.00414999993517995
"Scophthalmidae","Phrynorhombus","norvegicus",24,27,"species",235,"fb","TL","spe-FAO",2.90499997138977,0.016100000590086
"Mugilidae","Chelon","labrosus",24,27,"species",235,"fb","TL","spe-FAO",3.07299995422363,0.00902333358923594
"Dasyatidae","Dasyatis","pastinaca",24,27,"species",235,"fb","TL","spe-Ocean",2.73213996887207,0.0320799998939037
"Labridae","Symphodus","bailloni",24,27,"species",235,"fb","TL","spe-FAO",3.11349999904633,0.0127499997615814
"Gadidae","Melanogrammus","aeglefinus",24,27,"species",235,"fb","TL","spe-Ocean",3.1416086839593,0.00596956520989213
"Triakidae","Galeorhinus","galeus",24,27,"species",235,"fb","TL","spe-Ocean",2.97075710977827,0.00801428572906713
"Lotidae","Molva","macrophthalma",24,27,"species",235,"fb","TL","gen-LME",3.43600010871887,0.00100000004749745
"Rajidae","Dipturus","",24,27,"genus",235,"fb","TL","gen-FAO",3.53900003433228,0.00047999998787418
"Pleuronectidae","Hippoglossoides","platessoides",24,27,"species",235,"fb","TL","spe-LME",3.2039999961853,0.00439999997615814
"Gadidae","Trisopterus","esmarkii",24,27,"species",235,"fb","TL","spe-FAO",3,0.00680000009015203
"Pleuronectidae","Glyptocephalus","cynoglossus",24,27,"species",235,"fb","TL","spe-FAO",3.23500001430511,0.00275000010151416
"Torpedinidae","Tetronarce","nobiliana",24,27,"species",235,"fb","TL","spe-FAO",2.86500000953674,0.0317699983716011
"Scophthalmidae","Scophthalmus","rhombus",24,27,"species",235,"fb","TL","spe-LME",3.04675003886223,0.0145475001190789
"Bothidae","Arnoglossus","thori",24,27,"species",235,"fb","TL","spe-FAO",3.085666735967,0.0126000000163913
"Sparidae","Pagellus","acarne",24,27,"species",235,"fb","TL","spe-LME",3.08550000190735,0.0102800000458956
"Sciaenidae","Umbrina","canariensis",24,27,"species",235,"fb","TL","spe-FAO",3.21000003814697,0.0082999998703599
"Argentinidae","Argentina","",25,27,"genus",230,"fb","TL","gen-LME",3.21733331680298,0.00319999995796631
"Merlucciidae","Merluccius","merluccius",25,27,"species",230,"fb","TL","spe-LME",3.07866664727529,0.00551777788334423
"Callionymidae","Callionymus","",25,27,"genus",230,"fb","TL","gen-LME",2.53500000635783,0.0381283333990723
"Scyliorhinidae","Scyliorhinus","canicula",25,27,"species",230,"fb","TL","spe-LME",3.26016672452291,0.00136166666440355
"Lophiidae","Lophius","piscatorius",25,27,"species",230,"fb","TL","spe-LME",3.28399991989136,0.00630000000819564
"Scombridae","Scomber","scombrus",25,27,"species",230,"fb","TL","spe-LME",3.16774994134903,0.00549999999930151
"Scophthalmidae","Lepidorhombus","whiffiagonis",25,27,"species",230,"fb","TL","spe-LME",3.08803327878316,0.0052599999277542
"Gadidae","Micromesistius","poutassou",25,27,"species",230,"fb","TL","spe-LME",3.35779995918274,0.00245799999684095
"Soleidae","Bathysolea","profundicola",25,27,"species",230,"fb","TL","fam-LME",3.10083334445953,0.00951167337285976
"Congridae","Conger","conger",25,27,"species",230,"fb","TL","spe-LME",3.20500000317891,0.00051166668223838
"Gadidae","Gadiculus","argenteus",25,27,"species",230,"fb","TL","spe-LME",3.32133332888285,0.00417666664967934
"Pentanchidae","Galeus","melastomus",25,27,"species",230,"fb","TL","spe-LME",3.09900002479553,0.00199199996422976
"Scophthalmidae","Lepidorhombus","boscii",25,27,"species",230,"fb","TL","spe-LME",3.07555716378348,0.0125285714997777
"Macrouridae","Malacocephalus","laevis",25,27,"species",230,"fb","TL","spe-LME",2.97150003910065,0.341374990704935
"Soleidae","Microchirus","variegatus",25,27,"species",230,"fb","TL","spe-LME",3.12799996137619,0.00996749993646517
"Phycidae","Phycis","blennoides",25,27,"species",230,"fb","TL","spe-LME",3.19366665681203,0.00559499987866729
"Carangidae","Trachurus","trachurus",25,27,"species",230,"fb","TL","spe-LME",2.83316667874654,0.0143366665579379
"Triglidae","Chelidonichthys","cuculus",25,27,"species",230,"fb","TL","spe-LME",2.9796667098999,0.0115333336095015
"Gadidae","Trisopterus","luscus",25,27,"species",230,"fb","TL","spe-LME",3.24375003576279,0.0076075000106357
"Lotidae","Molva","molva",25,27,"species",230,"fb","TL","spe-FAO",3.43600010871887,0.00100000004749745
"Lophiidae","Lophius","budegassa",25,27,"species",230,"fb","TL","spe-LME",2.91574996709824,0.0365024999482557
"Caproidae","Capros","aper",25,27,"species",230,"fb","TL","spe-LME",2.81924992799759,0.0299174997489899
"Sebastidae","Helicolenus","dactylopterus",25,27,"species",230,"fb","TL","spe-LME",3.13075000047684,0.0110975001007318
